element,web_name,first_name,second_name,team_id,element_type,status,chance_of_playing_this_round,chance_of_playing_next_round,news,news_added,now_cost,cost_change_event,selected_by_percent,form,minutes,starts,total_points,transfers_in_event,transfers_out_event,ep_this,ep_next,team,season,snapshot_time,snapshot_date,current_gw,next_gw,next_deadline,hours_to_deadline
86,Lewis-Potter,Keane,Lewis-Potter,4,3,a,NA,NA,,NA,55,0,0.5,0.0,1960,22,115,0,0,NA,2.0,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
87,Ajer,Kristoffer,Ajer,4,2,a,NA,NA,,NA,45,0,1.1,0.0,1805,20,76,0,0,NA,1.7,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
88,Kayode,Michael,Kayode,4,2,a,NA,NA,,NA,45,0,4.2,0.0,3258,37,113,0,0,NA,1.7,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
89,Henry,Rico,Henry,4,2,a,NA,NA,,NA,45,0,0.2,0.0,1322,14,52,0,0,NA,1.7,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
90,Hickey,Aaron,Hickey,4,2,a,NA,NA,,NA,45,0,0.1,0.0,679,8,37,0,0,NA,1.7,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
91,Pinnock,Ethan,Pinnock,4,2,a,NA,NA,,NA,45,0,0.1,0.0,318,4,14,0,0,NA,1.7,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
92,Ji-soo,Kim,Ji-soo,4,2,a,NA,NA,,NA,45,0,0.0,0.0,0,0,0,0,0,NA,1.7,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
93,Schuster,Jannik,Schuster,4,2,a,NA,NA,,NA,45,0,0.1,0.0,0,0,0,0,0,NA,1.7,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
94,Schade,Kevin,Schade,4,3,a,NA,NA,,NA,60,0,2.3,0.0,2744,32,125,0,0,NA,2.1,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
95,O.Dango,Dango,Ouattara,4,3,a,NA,NA,,NA,65,0,1.3,0.0,2271,25,136,0,0,NA,2.3,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
96,Damsgaard,Mikkel,Damsgaard,4,3,a,NA,NA,,NA,55,0,0.7,0.0,2046,24,113,0,0,NA,2.0,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
97,Jensen,Mathias,Jensen,4,3,a,NA,NA,,NA,55,0,0.1,0.0,2239,26,98,0,0,NA,2.0,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
98,Janelt,Vitaly,Janelt,4,3,a,NA,NA,,NA,50,0,0.1,0.0,1434,15,74,0,0,NA,1.5,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
99,Milambo,Antoni,Milambo,4,3,d,NA,75,Knee injury - 75% chance of playing,2026-07-23T12:01:23.384798Z,50,0,0.0,0.0,45,1,1,0,0,NA,1.1,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
100,Carvalho,Fábio,Freitas Gouveia Carvalho,4,3,i,NA,0,Knee injury - Unknown return date,2026-07-23T12:01:23.400917Z,50,0,0.0,0.0,100,1,13,0,0,NA,0.0,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
101,Henderson,Jordan,Henderson,4,3,u,NA,0,has departed the club as a free agent.,2026-07-23T12:01:23.416721Z,50,0,0.0,0.0,1911,22,76,0,0,NA,0.0,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
102,Yarmoliuk,Yehor,Yarmoliuk,4,3,a,NA,NA,,NA,50,0,1.5,0.0,2652,30,104,0,0,NA,1.5,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
